Strand	Start	End	Upstream Gene
-	949530	949559	pflA
-	950439	950468	pflB
-	954017	954046	ycaO
+	959350	959379	aroA
+	963366	963395	ihfB
-	983688	983717	aspC
+	983703	983732	ycbL
-	985057	985086	ompF
-	986769	986798	asnS
+	992454	992483	pepN
+	1014700	1014729	ymbA
+	1015115	1015144	rmf
-	1018178	1018207	ompA
+	1018190	1018219	matP
-	1027574	1027603	hspQ
-	1029925	1029954	yccA
+	1066049	1066078	agp
-	1074099	1074128	putA
+	1099993	1100022	ycdZ
-	1100046	1100075	csgG
+	1112743	1112772	opgH
-	1112746	1112775	msyB
+	1117091	1117120	yceA
-	1119861	1119890	bssS
-	1120424	1120453	dinI
-	1121919	1121948	yceB
-	1122600	1122629	grxB
+	1128596	1128625	murJ
-	1140354	1140383	rne
-	1145163	1145192	yceF
+	1152425	1152454	fabF
+	1158549	1158578	ptsG
-	1168599	1168628	ycfS
-	1180954	1180983	potD
-	1186304	1186333	ycfD
+	1195613	1195642	icd
-	1196023	1196052	ymfD
+	1201171	1201200	ymfI
+	1216319	1216348	ymgC
-	1221494	1221523	ymgD
-	1223442	1223471	minE
-	1226248	1226277	pliG
-	1231679	1231708	dsbB
-	1232369	1232398	nhaB
-	1234889	1234918	ycgB
-	1239286	1239315	cvrA
+	1244214	1244243	ymgE
-	1244870	1244899	treA
-	1255866	1255895	ychF
+	1258301	1258330	ychH
-	1260104	1260133	prs
-	1269927	1269956	chaA
+	1291598	1291627	galU
-	1291673	1291702	hns
+	1293703	1293732	tdk
-	1294545	1294574	adhE
+	1304790	1304819	oppF
-	1304804	1304833	yciU
+	1307002	1307031	yciY
+	1309833	1309862	tonB
-	1309850	1309879	yciA
-	1312688	1312717	yciE
-	1328412	1328441	yciN
+	1331688	1331717	topA
+	1333703	1333732	yciX
+	1336533	1336562	acnA
-	1336552	1336581	ribA
-	1341006	1341035	osmB
-	1344965	1344994	rnb
-	1348231	1348260	fabI
-	1355793	1355822	puuP
+	1368041	1368070	pspE
-	1386300	1386329	tpx
-	1395644	1395673	uspE
-	1396745	1396774	fnr
-	1409008	1409037	ttcA
-	1433162	1433191	uspF
-	1439848	1439877	ldhA
+	1444356	1444385	ydbL
+	1447053	1447082	feaB
+	1463108	1463137	paaY
+	1473113	1473142	ydbC
+	1496909	1496938	ydcH
+	1522475	1522504	yncE
-	1522484	1522513	ansP
-	1532915	1532944	yddE
-	1544283	1544312	yddG
-	1551955	1551984	maeA
-	1553777	1553806	sra
-	1561311	1561340	dosP
-	1565490	1565519	yddW
-	1566931	1566960	gadC
-	1616251	1616280	
+	1618249	1618278	marB
+	1620802	1620831	yneM
-	1635580	1635609	gnsB
+	1640375	1640404	cspF
-	1668991	1669020	mdtI
-	1670814	1670843	mdtI
-	1672978	1673007	pntB
+	1677411	1677440	ydgH
+	1689389	1689418	ydgA
+	1701253	1701282	add
-	1701269	1701298	ydgJ
-	1713938	1713967	tyrS
+	1718383	1718412	slyB
-	1718381	1718410	slyA
-	1731743	1731772	grxD
+	1733270	1733299	ydhO
+	1734115	1734144	sodB
+	1740608	1740637	cfa
+	1742853	1742882	mdtK
-	1742856	1742885	ydhQ
+	1745050	1745079	ydhR
-	1752931	1752960	ydhZ
+	1755164	1755193	pykF
-	1755686	1755715	ynhG
+	1755710	1755739	lpp
-	1762718	1762747	rydB
-	1763161	1763190	ydiI
+	1768211	1768240	ydiK
-	1776393	1776422	ydiP
+	1787512	1787541	aroH
-	1790247	1790276	nlpC
-	1793234	1793263	ihfA
-	1797374	1797403	rplT
-	1803327	1803356	ydiY
+	1808063	1808092	yniC
-	1819882	1819911	osmE
+	1821336	1821365	nadE
-	1823088	1823117	spy
-	1842958	1842987	topB
+	1848732	1848761	sppA
+	1861805	1861834	gapA
+	1862762	1862791	yeaD
-	1863699	1863728	mipA
+	1876992	1877021	yoaJ
-	1876997	1877026	yeaQ
-	1884859	1884888	rnd
-	1886037	1886066	fadD
-	1887925	1887954	yeaY
+	1892479	1892508	yoaC
-	1892501	1892530	yoaH
+	1896328	1896357	sdaA
-	1905191	1905220	cspC
-	1909682	1909711	htpX
-	1930111	1930140	eda
-	1932748	1932777	zwf
-	1937135	1937164	lpxM
+	1937208	1937237	pykA
-	1938292	1938321	yebA
-	1956463	1956492	cutC
+	1959848	1959877	argS
-	1975242	1975271	flhC
-	1980509	1980538	araH
+	1985465	1985494	ftnB
-	1985509	1985538	yecJ
-	1985874	1985903	azuC
+	1987237	1987266	ftnA
+	1994065	1994094	yecF
-	1994083	1994112	sdiA
-	1997578	1997607	fliY
+	2005664	2005693	amyA
-	2005674	2005703	yedD
+	2007736	2007765	yedF
-	2026179	2026208	yodC
+	2040163	2040192	zinT
+	2042724	2042753	asnT
+	2055598	2055627	yeeN
-	2055973	2056002	asnW
-	2060366	2060395	erfK
+	2076993	2077022	yoeF
-	2077005	2077034	yeeX
-	2083691	2083720	yeeF
+	2088131	2088160	hisL
-	2095287	2095316	cld
+	2095313	2095342	hisI
-	2097816	2097845	gnd
-	2111365	2111394	galF
-	2165284	2165313	ogrK
-	2175339	2175368	fbaB
-	2190481	2190510	yehE
-	2191030	2191059	mrp
+	2194363	2194392	metG
+	2221916	2221945	dld
-	2223028	2223057	yohC
+	2227189	2227218	yohP
+	2234618	2234647	yeiA
+	2242782	2242811	yeiG
-	2245040	2245069	lysP
-	2257549	2257578	fruA
+	2264070	2264099	yeiP
+	2268618	2268647	spr
-	2276560	2276589	bcr
+	2280835	2280864	rplY
-	2280849	2280878	yejK
+	2284313	2284342	proL
+	2289354	2289383	narP
-	2303106	2303135	mqo
-	2309632	2309661	ompC
+	2314862	2314891	rcsB
-	2325331	2325360	yfaP
-	2334734	2334763	gyrA
+	2338348	2338377	ubiG
-	2346810	2346839	inaA
-	2347935	2347964	glpQ
-	2378706	2378735	elaB
-	2388016	2388045	nuoN
-	2403640	2403669	lrhA
-	2409420	2409449	yfbT
+	2414957	2414986	pta
-	2438303	2438332	fabB
-	2447217	2447246	yfcO
-	2454315	2454344	sixA
-	2458632	2458661	yfcZ
+	2460689	2460718	fadL
-	2462224	2462253	mlaA
+	2468487	2468516	gtrS
-	2495024	2495053	alaC
-	2506447	2506476	glk
+	2509367	2509396	ypeC
-	2509365	2509394	mntH
+	2517223	2517252	yfeD
-	2517236	2517265	gltX
+	2519501	2519530	lysV
-	2519520	2519549	xapR
+	2523908	2523937	yfeN
+	2531417	2531446	cysK
+	2534387	2534416	crr
-	2534390	2534419	pdxK
+	2547604	2547633	yfeW
+	2579680	2579709	tktB
+	2588728	2588757	acrD
-	2588727	2588756	ypfM
+	2590999	2591028	ypfN
-	2591049	2591078	ypfH
-	2628920	2628949	guaA
+	2628931	2628960	yfgI
-	2635454	2635483	bamB
+	2651689	2651718	sseA
-	2651714	2651743	sseB
-	2657530	2657559	iscA
+	2671797	2671826	yphA
-	2682083	2682112	glyA
-	2689182	2689211	purL
-	2698599	2698628	acpS
-	2702318	2702347	lepB
+	2714032	2714061	eamB
-	2714035	2714064	yfiD
+	2717186	2717215	trxC
+	2722105	2722134	pssA
+	2724044	2724073	yfiM
-	2724050	2724079	rrfG
-	2729595	2729624	clpB
+	2734926	2734955	bamD
+	2736929	2736958	pheA
-	2736949	2736978	tyrA
-	2742161	2742190	rplS
+	2751992	2752021	bamE
-	2751999	2752028	yfjF
+	2754032	2754061	ssrA
+	2773040	2773069	yfjW
-	2776143	2776172	ypjA
+	2798532	2798561	ygaM
+	2812174	2812203	emrB
-	2812186	2812215	luxS
-	2820698	2820727	recA
-	2822489	2822518	mltB
-	2836250	2836279	ascG
+	2857675	2857704	mutS
-	2864503	2864532	rpoS
-	2885563	2885592	cysH
-	2904605	2904634	eno
-	2922177	2922206	syd
-	2929841	2929870	fucO
+	2943015	2943044	csdE
-	2943027	2943056	csdL
-	2945761	2945790	amiC
-	2962351	2962380	thyA
+	2970655	2970684	tas
-	2970708	2970737	aas
-	2978761	2978790	araE
-	3043137	3043166	ygfF
+	3043142	3043171	bglA
-	3049074	3049103	visC
+	3065324	3065353	scpC
-	3065325	3065354	yggE
-	3066916	3066945	mscS
-	3077622	3077651	tktA
+	3085899	3085928	metK
+	3092049	3092078	yqgF
+	3096479	3096508	yggW
+	3104995	3105024	nupG
-	3105016	3105045	speC
+	3108453	3108482	pheV
-	3108548	3108577	yghD
-	3117574	3117603	glcA
-	3134633	3134662	gss
-	3146970	3146999	yqhA
+	3152260	3152289	yghB
-	3156904	3156933	ygiQ
-	3165833	3165862	mqsA
+	3179601	3179630	ygiC
-	3181783	3181812	ribB
-	3189744	3189773	glgS
+	3209044	3209073	rpsU
+	3218892	3218921	patA
-	3218914	3218943	ygjH
+	3220476	3220505	ebgR
+	3236464	3236493	ygjR
+	3239232	3239261	sstT
+	3248418	3248447	yqjK
+	3250020	3250049	yqjG
+	3274889	3274918	garD
-	3303920	3303949	deaD
-	3307011	3307040	pnp
-	3309405	3309434	rpsO
+	3311204	3311233	psrO
-	3317931	3317960	yhbX
-	3320055	3320084	leuU
-	3322960	3322989	ftsH
+	3326187	3326216	yhbY
-	3330824	3330853	rpmA
+	3332706	3332735	ispB
-	3374278	3374307	sspB
-	3375768	3375797	rpsI
+	3381299	3381328	degS
-	3381313	3381342	mdh
-	3383830	3383859	yhcO
-	3390351	3390380	yhdP
+	3405306	3405335	accC
+	3409630	3409659	fis
-	3436493	3436522	zntR
+	3436507	3436536	mscL
-	3437601	3437630	rplQ
-	3446286	3446315	rpsQ
-	3464225	3464254	bfr
-	3468103	3468132	tufA
-	3474596	3474625	fkpA
+	3475868	3475897	slyX
-	3475876	3475905	slyD
+	3484786	3484815	crp
-	3489715	3489744	ppiA
+	3502811	3502840	frlR
-	3510483	3510512	trpS
+	3532499	3532528	pck
-	3532516	3532545	envZ
+	3537811	3537840	yhgF
+	3541013	3541042	feoC
-	3562121	3562150	glgP
-	3573695	3573724	gntU
-	3583064	3583093	ggt
-	3597902	3597931	rpoH
+	3604401	3604430	yhhN
+	3608571	3608600	dcrB
-	3634022	3634051	yhiN
+	3638582	3638611	uspA
+	3640361	3640390	dtpB
-	3640376	3640405	yhiQ
-	3645675	3645704	dinQ
+	3655608	3655637	hdeD
+	3657081	3657110	gadE
+	3664137	3664166	gadY
-	3664164	3664193	gadA
-	3674144	3674173	yhjG
-	3680158	3680187	dctA
+	3715243	3715272	yiaD
-	3716329	3716358	yiaF
+	3717810	3717839	yiaG
+	3718307	3718336	cspA
-	3720324	3720353	glyS
+	3775148	3775177	yibL
-	3790783	3790812	yibB
+	3796252	3796281	rfaL
-	3809237	3809266	rpmG
-	3813109	3813138	pyrE
+	3813121	3813150	slmA
+	3830205	3830234	yicH
-	3848787	3848816	ilvN
+	3851676	3851705	tisB
+	3884769	3884798	yidC
+	3886233	3886262	mnmE
+	3889505	3889534	tnaB
-	3893258	3893287	purP
-	3904843	3904872	phoU
-	3913536	3913565	atpC
+	3945062	3945091	trpT
+	3946453	3946482	yifE
+	3951437	3951466	ilvE
-	3957518	3957547	ppiC
+	3965709	3965738	rho
+	4006418	4006447	rhtC
-	4006435	4006464	rhtB
-	4013337	4013366	ysgA
+	4015217	4015246	udp
-	4025548	4025577	fadA
+	4038676	4038705	rrfA
-	4038849	4038878	mobB
+	4042078	4042107	dsbA
-	4048004	4048033	yihA
+	4051549	4051578	hemN
-	4051590	4051619	yshB
-	4054435	4054464	glnA
+	4058264	4058293	typA
+	4084869	4084898	fdhD
+	4099510	4099539	sodA
+	4100716	4100745	kdgT
+	4101532	4101561	yiiM
+	4104393	4104422	cpxP
+	4107874	4107903	sbp
-	4108724	4108753	tpiA
+	4110801	4110830	yiiR
-	4112553	4112582	glpX
+	4116828	4116857	zapB
-	4116843	4116872	rraA
-	4118389	4118418	hslU
-	4125256	4125285	yiiX
+	4125263	4125292	rpmE
+	4130441	4130470	metL
+	4134041	4134070	katG
-	4151551	4151580	argE
+	4164381	4164410	murI
+	4175175	4175204	tufB
+	4176360	4176389	nusG
+	4187622	4187651	rpoC
+	4213285	4213314	metA
+	4225556	4225585	metH
-	4227451	4227480	pepE
+	4233578	4233607	pgi
-	4240547	4240576	malG
+	4248512	4248541	malM
+	4251912	4251941	ubiA
-	4251912	4251941	plsB
+	4255750	4255779	lexA
+	4260759	4260788	dusA
+	4261232	4261261	pspG
-	4261238	4261267	qorA
+	4266356	4266385	tyrB
+	4269033	4269062	yjbR
+	4272745	4272774	ssb
+	4275939	4275968	soxR
+	4277860	4277889	yjcD
+	4279675	4279704	yjcE
-	4283359	4283388	acs
-	4294411	4294440	yjcO
-	4324367	4324396	yjdM
+	4342844	4342873	melB
+	4351169	4351198	yjdO
-	4351191	4351220	lysU
-	4363469	4363498	dcuA
-	4364876	4364905	aspA
+	4367184	4367213	fxsA
+	4370721	4370750	groL
+	4374280	4374309	efp
+	4374745	4374774	ecnB
-	4376992	4377021	frdD
+	4402351	4402380	hflC
+	4404078	4404107	purA
+	4408036	4408065	rlmB
-	4422485	4422514	yjfY
+	4424594	4424623	rplI
-	4432591	4432620	cpdB
+	4435521	4435550	cysQ
+	4437851	4437880	ytfK
-	4437857	4437886	ytfL
+	4446266	4446295	ytfP
-	4452603	4452632	fbp
+	4455200	4455229	mpl
-	4461054	4461083	treC
+	4468512	4468541	mgtA
-	4468975	4469004	pyrI
+	4477037	4477066	rraB
-	4478950	4478979	valS
+	4486442	4486471	lptG
-	4486441	4486470	yjgR
+	4552418	4552447	uxuB
-	4574880	4574909	mcrC
+	4578042	4578071	symR
+	4585905	4585934	mrr
-	4595139	4595168	opgB
+	4610345	4610374	ytjA
+	4621085	4621114	yjjJ
-	4621092	4621121	lplA
+	4637544	4637573	creD
-	4637560	4637589	arcA
